Index,Temperature (°C),Pressure (bar),Flow Rate (m3/h),Energy Consumption (kWh)
1,50.2,2.3,120.5,350.6
2,48.7,2.1,115.8,342.9
3,51.5,2.4,121.9,355.2
4,49.3,2.2,118.3,347.1
5,52.1,2.5,123.7,360.5
6,50.8,2.3,119.6,352.8
7,48.9,2.1,116.5,344.3
8,51.2,2.4,122.3,357.9
9,49.6,2.2,118.8,349.7
10,52.3,2.5,124.1,362.3
11,50.1,2.3,120.2,349.9
12,49.8,2.4,118.9,348.2
13,51.3,2.2,121.6,354.1
14,52.0,2.6,123.9,359.8
15,48.6,2.0,115.7,341.5
16,50.5,2.3,120.9,351.8
17,51.0,2.4,121.2,353.4
18,49.4,2.1,118.1,346.3
19,52.2,2.5,124.3,363.0
20,48.8,2.2,116.3,343.6
21,50.0,2.3,120.0,349.5
22,51.8,2.4,122.7,358.5
23,49.9,2.1,118.7,348.8
24,52.4,2.6,124.5,364.2
25,48.5,2.0,115.5,340.9
26,50.3,2.3,120.7,351.2
27,51.1,2.4,121.4,353.8
28,49.5,2.1,118.5,347.6
29,52.5,2.6,124.7,365.4
30,48.4,2.0,115.3,340.2
31,50.4,2.3,120.8,351.5
32,51.6,2.5,122.1,356.0
33,49.7,2.2,119.0,349.4
34,52.6,2.7,124.9,366.6
35,48.3,2.0,115.1,339.6
36,50.6,2.4,121.0,352.1
37,51.7,2.5,122.4,357.3
38,49.2,2.2,118.0,345.8
39,52.7,2.7,125.1,367.8
40,48.2,2.0,114.9,339.0
41,50.7,2.4,121.1,352.4
42,51.9,2.5,122.6,358.1
43,49.1,2.2,117.9,345.2
44,52.8,2.8,125.3,369.0
45,48.1,2.0,114.7,338.4
46,50.9,2.4,121.3,353.1
47,52.0,2.6,123.8,360.0
48,49.0,2.1,117.0,343.9
49,52.9,2.8,125.5,370.2
50,48.0,2.0,114.5,337.8
51,51.0,2.4,121.5,353.4
52,52.1,2.6,124.0,360.3
53,48.9,2.1,116.9,343.1
54,53.0,2.8,125.7,371.4
55,47.9,2.0,114.3,337.2
56,51.1,2.5,121.7,353.7
57,52.2,2.6,124.2,360.6
58,48.8,2.1,116.7,342.4
59,53.1,2.9,125.9,372.6
60,47.8,2.0,114.1,336.6
61,51.2,2.5,121.8,354.0
62,52.3,2.7,124.4,361.2
63,48.7,2.1,116.6,342.0
64,53.2,2.9,126.1,373.8
65,47.7,2.0,113.9,336.0
66,51.3,2.5,121.9,354.2
67,52.4,2.7,124.6,361.8
68,48.6,2.1,116.4,341.6
69,53.3,2.9,126.3,375.0
70,47.6,2.0,113.7,335.4
71,51.4,2.6,122.0,354.5
72,52.5,2.8,124.8,362.4
73,48.5,2.1,116.2,341.2
74,53.4,3.0,126.5,376.2
75,47.5,2.0,113.5,334.8
76,51.5,2.6,122.1,354.7
77,52.6,2.8,125.0,362.9
78,48.4,2.1,116.0,340.8
79,53.5,3.0,126.7,377.4
80,47.4,2.0,113.3,334.2
81,51.6,2.6,122.2,355.0
82,52.7,2.8,125.2,363.5
83,48.3,2.1,115.8,340.4
84,53.6,3.0,126.9,378.6
85,47.3,2.0,113.1,333.6
86,51.7,2.7,122.3,355.2
87,52.8,2.9,125.4,364.1
88,48.2,2.1,115.6,340.0
89,53.7,3.1,127.1,379.8
90,47.2,2.0,112.9,333.0
91,51.8,2.7,122.4,355.5
92,52.9,2.9,125.6,364.7
93,48.1,2.1,115.4,339.6
94,53.8,3.1,127.3,381.0
95,47.1,2.0,112.7,332.4
96,51.9,2.7,122.5,355.7
97,53.0,2.9,125.8,365.3
98,48.0,2.1,115.2,339.2
99,53.9,3.1,127.5,382.2
100,47.0,2.0,112.5,331.8
